id,name,publisher,category,source_type,url,regions,brands,data_types,access,legal_ingestion_status,priority_score_1_5,recommended_ingestion_route,notes,evidence_url,last_verified,forum_or_unofficial
jlr_topix,JLR TOPIx,Jaguar Land Rover,oem_service_portal,subscription_portal,https://topix.jlrext.com/,Global/varies,Jaguar | Land Rover | Range Rover,workshop_manuals | electrical_diagrams | technical_bulletins | diagnostic_release_notes,paid_subscription,licensed_subscription_required,5,Register independent operator; ingest licensed documents with model/VIN metadata.,Core JLR source.,https://topix.jlrext.com/,2026-05-03,False
kia_kgis,Kia Global Information System (KGIS),Kia Motors America,oem_service_portal,subscription_portal,https://kiatechinfo.snapon.com/,United States,Kia,service_manuals | technical_service_bulletins | technical_training | scan_tools | reprogramming_tools,paid_subscription,licensed_subscription_required,5,Subscribe; ingest service manual/TSB/training only within license limits.,Core Kia source.,https://kiatechinfo.snapon.com/,2026-05-03,False
mazda_serviceinfo,Mazda Service Info,Mazda North American Operations,oem_service_portal,subscription_portal,https://www.mazdaserviceinfo.com/,United States,Mazda,workshop_manuals | wiring_diagrams | technical_service_bulletins | pcm_programming | immobilizer_codes,paid_subscription,licensed_subscription_required,5,Subscribe; ingest workshop manual/WD/TSB under terms; use security data only where authorized.,Core Mazda U.S. source.,https://www.mazdaserviceinfo.com/,2026-05-03,False
mercedes_startekinfo,Mercedes-Benz StarTekInfo,Mercedes-Benz USA,oem_service_portal,subscription_portal,https://www.startekinfo.com/,United States,Mercedes-Benz | Mercedes-Benz Vans,service_repair_documentation | diagnostic_manuals | special_tools | maintenance,paid_subscription,licensed_subscription_required,5,Use official technical docs with VIN/model/body/engine filters.,Core Mercedes-Benz source.,https://www.startekinfo.com/,2026-05-03,False
ford_motorcraft_service,Motorcraft Service,Ford Motor Company,oem_service_portal,subscription_portal,https://www.motorcraftservice.com/,United States | global country selector,Ford | Lincoln | Mercury,repair_manuals | wiring_diagrams | diagnostic_tool_support | owner_guides | technical_service_bulletins,mixed_free_paid,licensed_subscription_required,5,Use subscriptions for repair/wiring/TSB; owner guides free where available.,Core Ford/Lincoln source.,https://www.motorcraftservice.com/,2026-05-03,False
nissan_techinfo,Nissan Publications / TechInfo,Nissan,oem_service_portal,subscription_portal,https://www.nissan-techinfo.com/,United States,Nissan | Infiniti,service_manuals | technical_service_bulletins | accessory_installation | diagnostic_software | owner_manuals,mixed_free_paid,licensed_subscription_required,5,Use subscription for service manuals and TSBs; owner manuals are free via the portal where available.,Core Nissan/Infiniti source.,https://www.nissan-techinfo.com/,2026-05-03,False
subaru_stis,Subaru Technical Information System (STIS),Subaru of America,oem_service_portal,subscription_portal,https://techinfo.subaru.com/,United States,Subaru,service_manuals | service_bulletins | wiring_diagrams | diagnostic_information | training,paid_subscription,licensed_subscription_required,5,Subscribe; map content by model/year/engine/body.,Core Subaru U.S. source.,https://techinfo.subaru.com/,2026-05-03,False
toyota_tis_na,Toyota Technical Information System (TIS),Toyota Motor North America,oem_service_portal,subscription_portal,https://techinfo.toyota.com/,North America,Toyota | Lexus | Scion,service_bulletins | repair_manuals | wiring_diagrams | technical_training | diagnostics_reprogramming,paid_subscription_with_some_free_emergency_guides,licensed_subscription_required,5,Subscribe; export/index only content allowed by subscription terms. Use links/citations per document.,Core OEM source for Toyota/Lexus/Scion.,https://techinfo.toyota.com/,2026-05-03,False
vw_erwin_na,Volkswagen erWin North America,Volkswagen of America,oem_service_portal,subscription_portal,https://erwin.vw.com/,United States | North America,Volkswagen,repair_manuals | wiring_diagrams | technical_service_bulletins | vehicle_data | campaigns,paid_subscription,licensed_subscription_required,5,Subscribe; ingest VIN-specific service information and wiring diagrams only within terms.,Core VW source for North American specs.,https://erwin.vw.com/,2026-05-03,False
nhtsa_datasets_apis,NHTSA Datasets and APIs,U.S. National Highway Traffic Safety Administration,open_government_data,api_and_bulk_download,https://www.nhtsa.gov/nhtsa-datasets-and-apis,United States,All makes sold in U.S. where data exists,ratings | recalls | investigations | complaints | manufacturer_communications | technical_service_bulletins,free,open_download_allowed,5,Use APIs for vehicle-specific lookup; use ZIP/CSV flat files for bulk indexing; refresh daily/weekly.,"Best open source for U.S. recalls, complaints, investigations and manufacturer communications.",https://www.nhtsa.gov/nhtsa-datasets-and-apis,2026-05-03,False
nhtsa_tsbs_recent_zips,NHTSA Manufacturer Communications / TSB Received ZIPs,U.S. NHTSA ODI,open_government_data,bulk_download,https://static.nhtsa.gov/odi/ffdd/tsbs/TSBS_RECEIVED_2025-2026.zip,United States,All makes where TSBs exist,technical_service_bulletins | manufacturer_communications,free,open_download_allowed,5,Download year-range ZIPs from the NHTSA page; keep original document URL as citation.,"Use all year-range ZIPs, not only this sample URL.",https://static.nhtsa.gov/odi/ffdd/tsbs/TSBS_RECEIVED_2025-2026.zip,2026-05-03,False
nhtsa_recalls_flat,NHTSA Recalls Flat File,U.S. NHTSA ODI,open_government_data,bulk_download,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,United States,All makes where recalls exist,recalls | campaigns | remedy | affected_components,free,open_download_allowed,5,Download ZIP; parse using RCL.txt data dictionary; refresh daily.,Official recall campaign bulk data.,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,2026-05-03,False
nhtsa_tsbs_flat,NHTSA Technical Service Bulletins System Flat File,U.S. NHTSA ODI,open_government_data,bulk_download,http://www-odi.nhtsa.dot.gov/downloads/folders/TSBS/FLAT_TSBS.zip,United States,All makes where TSBs exist,technical_service_bulletins | manufacturer_communications | summary | year_make_model,free,open_download_allowed,5,Download ZIP; ingest summaries and document IDs; link to source PDFs instead of redistributing full OEM documents unless license allows.,Data.gov lists CSV format and U.S. public-domain license for the downloadable flat file.,http://www-odi.nhtsa.dot.gov/downloads/folders/TSBS/FLAT_TSBS.zip,2026-05-03,False
nhtsa_vpic_api,NHTSA vPIC Vehicle API,U.S. National Highway Traffic Safety Administration,open_government_data,api,https://vpic.nhtsa.dot.gov/api/,United States | Canada-partial,All makes where VIN/manufacturer submissions exist,vin_decode | vehicle_specifications | make_model_year | wmi,free,open_api_allowed_rate_limited,5,Use DecodeVinValues/DecodeVinExtended and make/model endpoints. Cache VIN decode results.,Good first step for normalizing customer vehicle records by VIN.,https://vpic.nhtsa.dot.gov/api/,2026-05-03,False
alldata_pro,ALLDATA Repair Professional,ALLDATA / AutoZone,professional_database,oem_repair_data_platform,https://www.alldata.com/us/en/oem-repair-information-provider,United States | Europe/varies,Multi-brand,unedited_oem_repair_information | wiring_diagrams | dtc | tsb | maintenance | collision,paid_commercial_license,commercial_license_required,5,Use professional subscription/API if available; do not scrape web UI.,Strong OEM-source repair data.,https://www.alldata.com/us/en/oem-repair-information-provider,2026-05-03,False
autodata_cars_vans,Autodata for Cars & Vans,Solera Autodata,professional_database,repair_data_platform,https://www.autodata-group.com/global/,Global/varies,Multi-brand,technical_repair_procedures | wiring_diagrams | dtc | service_schedules | labour_estimates | specifications | known_fixes | bulletins | pin_data,paid_commercial_license,commercial_license_required,5,Acquire workshop license; integrate only through permitted exports/API.,Strong cross-brand source for independent workshops.,https://www.autodata-group.com/global/,2026-05-03,False
bosch_esitronic,Bosch ESI[tronic],Robert Bosch GmbH,professional_database,diagnostic_repair_software,https://www.boschaftermarket.com/gb/en/diagnostics/ecu-diagnosis/esitronic/,Global/varies,Multi-brand,diagnosis | repair_instructions | component_tests | setpoints | circuit_diagrams | function_descriptions | bus_overviews | maintenance_schedules | known_faults,paid_commercial_license,commercial_license_required,5,Acquire commercial license; use vendor API/export only if contract permits; do not scrape client software.,Strong cross-brand diagnostic and repair source.,https://www.boschaftermarket.com/gb/en/diagnostics/ecu-diagnosis/esitronic/,2026-05-03,False
motor_truspeed_repair,MOTOR TruSpeed Repair,MOTOR Information Systems,professional_database,repair_data_platform_or_api,https://www.motor.com/products-services/software-applications/motor-truspeed-repair/,United States,Multi-brand light-duty vehicles,oem_repair_procedures | maintenance_schedules | tsb | torque_specs | dtc | fluids | wiring_diagrams | component_locations,paid_commercial_license,commercial_license_required,5,Consider for API-based integration into CRM/agent workflows.,Good fit if you need structured data/API.,https://www.motor.com/products-services/software-applications/motor-truspeed-repair/,2026-05-03,False
mitchell_prodemand,Mitchell 1 ProDemand,Mitchell 1 / Snap-on,professional_database,repair_data_platform,https://www.prodemand.com/,United States/Canada,Multi-brand,repair_information | vehicle_maintenance | diagnostic_data | labor_estimating | wiring_diagrams | tsb | dtc,paid_commercial_license,commercial_license_required,5,Acquire shop license; integrate through permitted vendor methods.,Strong U.S. aftermarket platform.,https://www.prodemand.com/,2026-05-03,False
tecalliance_tecdoc,TecAlliance TecDoc / Repair Data,TecAlliance,professional_database,parts_and_repair_data,https://www.tecalliance.net/,Europe/global,Multi-brand,parts_catalog | repair_data | maintenance_data | diagnostic_trouble_codes | service_schedules | labour_estimates | wiring_diagrams,paid_commercial_license,commercial_license_required,5,"Use for parts identification + repair data integration, especially Europe/Kazakhstan import mix.",Strong Europe-focused structured data.,https://www.tecalliance.net/,2026-05-03,False
bosch_automotive_mechatronics,Automotive Mechatronics,Springer Vieweg / Bosch Professional Automotive Information,book,reference_book,https://link.springer.com/book/10.1007/978-3-658-03975-2,Global,Multi-brand,mechatronics | automotive_networking | stability_systems | sensors,paid_book,book_purchase_required,4,Good for chassis/electronics systems understanding.,Technical foundation.,https://link.springer.com/book/10.1007/978-3-658-03975-2,2026-05-03,False
sae_books,SAE International Automotive Books,SAE International,book_catalog,technical_books,https://www.sae.org/publications/books,Global,Multi-brand,mobility_engineering | powertrain | ev | adas | diagnostics | vehicle_systems,paid_books,book_purchase_required,4,Select titles relevant to your repair scope; store bibliographic metadata and legal notes.,Authoritative engineering references.,https://www.sae.org/publications/books,2026-05-03,False
icar_rts,I-CAR Repairability Technical Support (RTS),I-CAR,collision_repair_reference,web_portal,https://rts.i-car.com/,North America,Multi-brand,oem_collision_repair_links | calibration_requirements | partial_part_replacement | restraints | hybrid_ev_disable | glass_replacement,free_and_paid_training,link_or_license_dependent,4,Index as collision/ADAS/HV safety reference; link to OEM procedures rather than copying.,Valuable for collision repair and ADAS calibration routing.,https://rts.i-car.com/,2026-05-03,False
nastf_oem_matrix,NASTF OEM Service Information Resources,National Automotive Service Task Force,industry_directory,directory,https://wp.nastf.org/,United States | Canada,Many OEMs,service_information_links | training | security_information,free_registration_or_membership,link_directory_allowed,4,Use as directory of OEM portals and secure-data workflows.,Good reference for U.S./Canada independent repairer access.,https://wp.nastf.org/,2026-05-03,False
bmw_tis_na,BMW Technical Information System,BMW Group,oem_service_portal,subscription_portal,https://bmwtechinfo.bmwgroup.com/,North America,BMW | MINI,service_information | repair_manuals | diagnostics,paid_subscription,licensed_subscription_required,4,Use for North American BMW/MINI data.,Registration/payment required.,https://bmwtechinfo.bmwgroup.com/,2026-05-03,False
citroen_servicebox,Citroën Service Box,Stellantis / Citroën,oem_service_portal,subscription_portal,https://service.citroen.com/,Europe/global access varies,Citroën,technical_documentation | repair_manuals | wiring_diagrams | diagnostics | parts_catalog,mixed_free_paid,licensed_subscription_required,4,Use official Service Box; ingest only licensed technical docs.,Citroën/OEM official.,https://service.citroen.com/,2026-05-03,False
genesis_techinfo,Genesis Service Website,Genesis Motor America,oem_service_portal,subscription_portal,https://www.genesistechinfo.com/,United States,Genesis,shop_manuals | electrical_troubleshooting_manuals | technical_service_bulletins | j2534,paid_subscription,licensed_subscription_required,4,Use for Genesis-specific manuals and TSBs.,Hyundai-related but separate portal.,https://www.genesistechinfo.com/,2026-05-03,False
mitsubishi_techinfo,Mitsubishi Motors Service Information Retrieval,Mitsubishi Motors North America,oem_service_portal,subscription_portal,https://mitsubishitechinfo.com/,United States,Mitsubishi,service_manuals | technical_service_bulletins | recalls | technical_information | emergency_response_guides,mixed_free_paid,licensed_subscription_required,4,Subscribe for service manuals; free emergency guides can be linked/indexed if permitted.,Useful for Mitsubishi imports and older models.,https://mitsubishitechinfo.com/,2026-05-03,False
mopar_techauthority,Mopar TechAuthority,Mopar / Stellantis,oem_service_portal,subscription_portal,https://www.techauthority.com/,United States,Chrysler | Dodge | Jeep | Ram | Fiat,service_bulletins | wiring_schematics | parts_identification | owner_manuals,paid_subscription_or_purchase,licensed_subscription_required,4,Subscribe/purchase official docs; retain links and document IDs.,Core U.S. Mopar/Stellantis source.,https://www.techauthority.com/,2026-05-03,False
renault_newdialogys,New Dialogys,Renault Group,oem_service_portal,login_portal,https://newdialogys.renault.com/,Europe/global access varies,Renault | Dacia | Alpine,technical_file | maintenance | repair | parts,paid_login,licensed_subscription_required,4,Use after proper registration/subscription.,Current Renault Group service system.,https://newdialogys.renault.com/,2026-05-03,False
peugeot_servicebox,Peugeot Service Box,Stellantis / Peugeot,oem_service_portal,subscription_portal,https://public.servicebox.peugeot.com/,Europe/global access varies,Peugeot,technical_documentation | repair_manuals | wiring_diagrams | diagnostic_documentation | parts_catalog,mixed_free_paid,licensed_subscription_required,4,Use official Service Box; ingest only licensed technical docs.,Peugeot/OEM official.,https://public.servicebox.peugeot.com/,2026-05-03,False
porsche_tsi,Porsche Technical Service Information / PIWIS TSI,Porsche,oem_service_portal,subscription_portal,https://www.porsche.com/usa/accessoriesandservice/porscheservice/additionalinformation/independentworkshops/,United States | Europe/global access varies,Porsche,repair_maintenance_info | technical_service_information | diagnostics | partslink24_reference,paid_subscription,licensed_subscription_required,4,Use official independent workshop route; avoid unofficial PDF mirrors.,Core Porsche source.,https://www.porsche.com/usa/accessoriesandservice/porscheservice/additionalinformation/independentworkshops/,2026-05-03,False
renault_asos,Renault ASOS / New Dialogys Documentation,Renault Group,oem_service_portal,subscription_portal,https://asos.renault.com/offers/documentation,Europe/global access varies,Renault | Dacia | Alpine,repair_manuals | technical_bulletins | parts_catalogs | wiring_diagrams,paid_subscription,licensed_subscription_required,4,Use New Dialogys documentation packs by duration; index by VIN and vehicle family.,Important for Renault/Dacia.,https://asos.renault.com/offers/documentation,2026-05-03,False
stellantis_iop,Stellantis Independent Operator Portal,Stellantis,oem_service_portal,subscription_portal,https://www.stellantisiop.com/,United States | Europe/global access varies,Chrysler | Dodge | Jeep | Ram | Fiat | Alfa Romeo | Maserati where applicable,technical_repair_information | service_information | diagnostics | security_access,registration_subscription,licensed_subscription_required,4,Use as umbrella portal for Stellantis technical repair information.,Good starting point for Stellantis brands.,https://www.stellantisiop.com/,2026-05-03,False
subaru_eu_repairinfo,Subaru Europe Tech-info,Subaru Europe,oem_service_portal,subscription_portal,https://www.subaru-repairinfo.com/,Europe,Subaru,repair_information | maintenance | diagnostics,paid_subscription,licensed_subscription_required,4,Use for European-spec Subaru vehicles.,Important for EU imports.,https://www.subaru-repairinfo.com/,2026-05-03,False
tesla_service_manuals,Tesla Service Manuals,Tesla,oem_service_portal,public_service_docs,https://service.tesla.com/docs/,Global/varies,Tesla,service_manuals | torque_specs | diagnostic_trouble_codes | maintenance | technical_data | hv_safety,free_public_pages_or_login_for_some_items,official_free_browse_check_terms_before_crawling,4,Link/index public service manual pages; verify terms before bulk crawling; high-voltage content must be safety-gated.,Useful for EV repair knowledge and HV safety processes.,https://service.tesla.com/docs/,2026-05-03,False
volvo_tis,Volvo Cars Technical Information Shop,Volvo Cars,oem_service_portal,subscription_portal,https://tis.volvocars.biz/,Europe/global access varies,Volvo | Polestar,vida_subscription | diagnostics | software_downloads | technical_information,paid_subscription,licensed_subscription_required,4,Use when a direct VIDA/vehicle connection and Volvo technical data are needed.,Core Volvo/Polestar source.,https://tis.volvocars.biz/,2026-05-03,False
erwin_eu_group,erWin Store Europe,Volkswagen Group,oem_service_portal,subscription_portal,https://volkswagen.erwin-store.com/,Europe,Volkswagen | Audi | SEAT | Škoda,repair_manuals | wiring_diagrams | technical_product_information | self-study_programs,paid_subscription,licensed_subscription_required,4,Use market-specific portals for EU/RoW vehicles.,Important for European-market imports.,https://volkswagen.erwin-store.com/,2026-05-03,False
epa_fueleconomy,FuelEconomy.gov Vehicles CSV,U.S. Environmental Protection Agency / Department of Energy,open_government_data,bulk_download,https://fueleconomy.gov/feg/epadata/vehicles.csv.zip,United States,Passenger cars and light trucks 1984-present,fuel_economy | engine | transmission | drive | emissions | ev_range,free,open_download_allowed,4,Download ZIP CSV; normalize by year/make/model/engine/transmission. Refresh when EPA updates.,Useful for vehicle attribute enrichment and fuel/engine context.,https://fueleconomy.gov/feg/epadata/vehicles.csv.zip,2026-05-03,False
nhtsa_complaints_flat,NHTSA Complaints Flat Files,U.S. NHTSA ODI,open_government_data,bulk_download,https://static.nhtsa.gov/odi/ffdd/cmpl/FLAT_CMPL.zip,United States,All makes where complaints exist,complaints | failure_symptoms | mileage | component,free,open_download_allowed,4,"Download ZIP; parse using CMPL.txt; use for trend signals, not repair decisions.",Unverified consumer complaints; useful for pattern discovery only.,https://static.nhtsa.gov/odi/ffdd/cmpl/FLAT_CMPL.zip,2026-05-03,False
transport_canada_recalls,Transport Canada Vehicle Recalls Database,Transport Canada,open_government_data,bulk_download_or_web,https://open.canada.ca/data/en/dataset/1ec92326-47ef-4110-b7ca-959fab03f96d,Canada,"Vehicles, tires, child seats",recalls | defect_investigations,free,open_download_allowed,4,Use official open data if accessible; otherwise link to Transport Canada recall search.,Useful for Canadian-market imports and North American models.,https://open.canada.ca/data/en/dataset/1ec92326-47ef-4110-b7ca-959fab03f96d,2026-05-03,False
uk_dvsa_recalls_csv,UK DVSA Vehicle Recalls CSV,Driver and Vehicle Standards Agency,open_government_data,bulk_download,https://www.check-vehicle-recalls.service.gov.uk/documents/RecallsFile.csv,United Kingdom,Vehicles/equipment recalled in UK,recalls | safety_defects,free,open_download_allowed,4,Download CSV; use as non-U.S. recall supplement.,The public page provides all recalls since 1992 as CSV.,https://www.check-vehicle-recalls.service.gov.uk/documents/RecallsFile.csv,2026-05-03,False
epcdata,OEM Electronic Parts Catalogs via manufacturer portals,Various OEMs,parts_catalog,various,various_official_oem_epc_portals,Global/varies,Multi-brand,parts_catalog | supersession | exploded_diagrams,paid_or_free_varies,license_dependent,4,Treat each OEM EPC as separate licensed source; keep part revisions/supersession dates.,Use only official or licensed EPC providers.,various_official_oem_epc_portals,2026-05-03,False
partslink24,Partslink24,LexCom / OEM parts portal,parts_catalog,subscription_portal,https://www.partslink24.com/,Europe/global,Many OEMs,oem_parts_catalog | part_numbers | exploded_views | vin_filtering,paid_subscription,commercial_license_required,4,Use for parts identification; integrate only through licensed routes.,Critical for CRM estimates and part matching.,https://www.partslink24.com/,2026-05-03,False
haynespro,HaynesPro WorkshopData,Infopro Digital Automotive,professional_database,repair_data_platform,https://www.infopro-digital-automotive.com/haynespro/,Europe/global,Multi-brand,repairs | maintenance | repair_times | wiring_diagrams | fault_management | technical_data,paid_commercial_license,commercial_license_required,4,Acquire license; use for standardized repair instructions and fault-guided workflows.,Useful for Europe-heavy workshop mix.,https://www.infopro-digital-automotive.com/haynespro/,2026-05-03,False
identifix_direct_hit,Identifix Direct-Hit,Identifix / Solera,professional_database,repair_data_platform,https://www.identifix.com/,United States/Canada,Multi-brand,confirmed_fixes | oem_manuals | wiring_diagrams | labor_guides | training_modules | dtc | tsb,paid_commercial_license,commercial_license_required,4,Use for pattern-based diagnostics; separate confirmed fixes from OEM procedures in database.,Blend of OEM info and verified fix experience.,https://www.identifix.com/,2026-05-03,False
motor_tsbs,MOTOR Technical Service Bulletins,MOTOR Information Systems,professional_database,data_product,https://www.motor.com/products-services/data-products/technical-service-bulletins/,United States,Multi-brand,oem_technical_service_bulletins,paid_commercial_license,commercial_license_required,4,Use for near-real-time TSB API/data feed if licensed.,TSB feed.,https://www.motor.com/products-services/data-products/technical-service-bulletins/,2026-05-03,False
iso_14229_uds,ISO 14229-1 Unified Diagnostic Services,International Organization for Standardization,standard,paid_standard,https://www.iso.org/standard/72439.html,Global,Multi-brand,uds | ecu_diagnostics | diagnostic_services,paid_standard,standards_purchase_required,4,Use for diagnostics architecture and terminology; do not copy standard text.,Core standard for ECU diagnostic services.,https://www.iso.org/standard/72439.html,2026-05-03,False
iso_15031_obd,ISO 15031 Road Vehicles OBD,International Organization for Standardization,standard,paid_standard,https://www.iso.org/standard/64636.html,Global,Multi-brand,obd | diagnostic_connector | pin_usage | external_test_equipment,paid_standard,standards_purchase_required,4,Use for emissions-related diagnostic interface concepts; do not reproduce standard text.,OBD connector and diagnostic requirements.,https://www.iso.org/standard/64636.html,2026-05-03,False
iso_15765_docan,ISO 15765 Diagnostics on CAN,International Organization for Standardization,standard,paid_standard,https://www.iso.org/search.html?q=ISO%2015765,Global,Multi-brand,can | diagnostics_on_can | network_layer,paid_standard,standards_purchase_required,4,Use for scan-tool/ECU communication concepts.,Important for CAN-based diagnostics.,https://www.iso.org/search.html?q=ISO%2015765,2026-05-03,False
sae_j1979_2,SAE J1979-2 OBDonUDS,SAE International,standard,paid_standard,https://www.sae.org/standards/j1979-2_202104-e-e-diagnostic-test-modes-obdonuds,Global where OBDonUDS applies,Multi-brand,obd | uds | diagnostic_test_modes,paid_standard,standards_purchase_required,4,Use as reference for standards-compliant scan-tool behavior; do not reproduce text.,Important for modern diagnostics.,https://www.sae.org/standards/j1979-2_202104-e-e-diagnostic-test-modes-obdonuds,2026-05-03,False
sae_diagnostic_committee,SAE Vehicle E/E System Diagnostic Standards Committee,SAE International,standards_directory,standards_catalog,https://standardsworks.sae.org/standards-committees/vehicle-e-e-system-diagnostic-standards-committee,Global,Multi-brand,j1962 | j1978 | j1979 | j2534 | diagnostics | pass_thru,mostly_paid_standards,standards_purchase_required,4,Use catalog to identify standards; buy required standards for training/implementation.,Good standards map.,https://standardsworks.sae.org/standards-committees/vehicle-e-e-system-diagnostic-standards-committee,2026-05-03,False
isuzu_rmi,Isuzu RMI,Isuzu Motors,oem_service_portal,subscription_portal,https://rmi.isuzu.co.jp/introduction,Global/varies,Isuzu,repair_information | maintenance | roadworthiness_test_info,paid_or_registration,licensed_subscription_required,3,Use mainly for Isuzu light/commercial vehicles in fleet/customer base.,"Commercial vehicles, not passenger car focus.",https://rmi.isuzu.co.jp/introduction,2026-05-03,False
mazda_manuals_au,Mazda Manuals Australia,Mazda Australia,oem_service_portal,subscription_portal,https://mazdamanuals.com.au/,Australia,Mazda,workshop_manuals | bodyshop_manuals | electrical_repair,paid_subscription,licensed_subscription_required,3,Use for RHD/Australian Mazda variants.,Market-specific source.,https://mazdamanuals.com.au/,2026-05-03,False
mopar_eu_technical_area,Mopar EU Technical Area,Mopar / Stellantis Europe,oem_service_portal,subscription_portal,https://www.mopar.eu/eu/en/mopar/technical-area,Europe,Fiat | Lancia | Alfa Romeo | Fiat Professional | Abarth | Jeep,technical_information | repair_information | maintenance,paid_subscription,licensed_subscription_required,3,Use for EU-market Stellantis/Fiat/Alfa/Jeep models.,European market source.,https://www.mopar.eu/eu/en/mopar/technical-area,2026-05-03,False
opel_gme_infotech,Opel / Vauxhall GME InfoTech,Opel / Vauxhall / Stellantis,oem_service_portal,subscription_portal,https://www.texa.com/passthru/opel/,Europe,Opel | Vauxhall | Saab | Chevrolet Europe,oem_technical_information | maintenance | repair | diagnostics,paid_subscription,licensed_subscription_required,3,Use official Opel site linked from OEM/J2534 ecosystem; verify market coverage.,The provided URL is a pass-thru landing page linking to official Opel resources.,https://www.texa.com/passthru/opel/,2026-05-03,False
